Serial Number,Date and Time,State,Description,Project
16A0065750,04/20/2024 00:00,Pass,BCP21,ICT3
16A0065751,04/20/2024 00:00,Pass,BCP21,ICT4
16A0065752,04/20/2024 00:01,Pass,BCP21,ICT4
16A0065753,04/20/2024 00:02,Pass,BCP21,ICT2
16A0065754,04/20/2024 00:03,Pass,BCP21,ICT2
16A0065755,04/20/2024 00:04,Fail,BCP21,ICT2
16A0065756,04/20/2024 00:05,Fail,BCP21,ICT1
16A0065757,04/20/2024 00:05,Pass,BCP21,ICT2
16A0065758,04/20/2024 00:06,Fail,BCP21,ICT4
16A0065759,04/20/2024 00:07,Fail,BCP21,ICT1
16A0065760,04/20/2024 00:08,Pass,BCP21,ICT2
16A0065761,04/20/2024 00:09,Fail,BCP21,ICT2
16A0065762,04/20/2024 00:10,Fail,BCP21,ICT4
16A0065763,04/20/2024 00:10,Fail,BCP21,ICT2
16A0065764,04/20/2024 00:11,Pass,BCP21,ICT4
16A0065765,04/20/2024 00:12,Pass,BCP21,ICT3
16A0065766,04/20/2024 00:13,Fail,BCP21,ICT1
16A0065767,04/20/2024 00:14,Fail,BCP21,ICT1
16A0065768,04/20/2024 00:15,Pass,BCP21,ICT2
16A0065769,04/20/2024 00:15,Fail,BCP21,ICT2
16A0065770,04/20/2024 00:16,Fail,BCP21,ICT2
16A0065771,04/20/2024 00:17,Fail,BCP21,ICT2
16A0065772,04/20/2024 00:18,Fail,BCP21,ICT3
16A0065773,04/20/2024 00:19,Fail,BCP21,ICT4
16A0065774,04/20/2024 00:20,Fail,BCP21,ICT3
16A0065775,04/20/2024 00:20,Fail,BCP21,ICT2
16A0065776,04/20/2024 00:21,Fail,BCP21,ICT1
16A0065777,04/20/2024 00:22,Fail,BCP21,ICT4
16A0065778,04/20/2024 00:23,Fail,BCP21,ICT2
16A0065779,04/20/2024 00:24,Pass,BCP21,ICT2
16A0065780,04/20/2024 00:25,Pass,BCP21,ICT3
16A0065781,04/20/2024 00:25,Pass,BCP21,ICT4
16A0065782,04/20/2024 00:26,Pass,BCP21,ICT1
16A0065783,04/20/2024 00:27,Pass,BCP21,ICT2
16A0065784,04/20/2024 00:28,Pass,BCP21,ICT3
16A0065785,04/20/2024 00:29,Fail,BCP21,ICT1
16A0065786,04/20/2024 00:30,Pass,BCP21,ICT3
16A0065787,04/20/2024 00:30,Pass,BCP21,ICT2
16A0065788,04/20/2024 00:31,Fail,BCP21,ICT4
16A0065789,04/20/2024 00:32,Pass,BCP21,ICT4
16A0065790,04/20/2024 00:33,Fail,BCP21,ICT4
16A0065791,04/20/2024 00:34,Pass,BCP21,ICT4
16A0065792,04/20/2024 00:35,Fail,BCP21,ICT1
16A0065793,04/20/2024 00:35,Fail,BCP21,ICT3
16A0065794,04/20/2024 00:36,Pass,BCP21,ICT4
16A0065795,04/20/2024 00:37,Pass,BCP21,ICT2
16A0065796,04/20/2024 00:38,Pass,BCP21,ICT1
16A0065797,04/20/2024 00:39,Fail,BCP21,ICT1
16A0065798,04/20/2024 00:40,Fail,BCP21,ICT3
16A0065799,04/20/2024 00:40,Fail,BCP21,ICT4
16A0065800,04/20/2024 00:41,Pass,BCP21,ICT4
16A0065801,04/20/2024 00:42,Fail,BCP21,ICT4
16A0065802,04/20/2024 00:43,Pass,BCP21,ICT4
16A0065803,04/20/2024 00:44,Fail,BCP21,ICT2
16A0065804,04/20/2024 00:45,Fail,BCP21,ICT3
16A0065805,04/20/2024 00:45,Fail,BCP21,ICT1
16A0065806,04/20/2024 00:46,Fail,BCP21,ICT2
16A0065807,04/20/2024 00:47,Fail,BCP21,ICT4
16A0065808,04/20/2024 00:48,Pass,BCP21,ICT2
16A0065809,04/20/2024 00:49,Fail,BCP21,ICT1
16A0065810,04/20/2024 00:50,Pass,BCP21,ICT4
16A0065811,04/20/2024 00:50,Fail,BCP21,ICT2
16A0065812,04/20/2024 00:51,Fail,BCP21,ICT2
16A0065813,04/20/2024 00:52,Fail,BCP21,ICT4
16A0065814,04/20/2024 00:53,Pass,BCP21,ICT3
16A0065815,04/20/2024 00:54,Fail,BCP21,ICT1
16A0065816,04/20/2024 00:55,Pass,BCP21,ICT4
16A0065817,04/20/2024 00:55,Pass,BCP21,ICT1
16A0065818,04/20/2024 00:56,Fail,BCP21,ICT1
16A0065819,04/20/2024 00:57,Fail,BCP21,ICT3
16A0065820,04/20/2024 00:58,Fail,BCP21,ICT2
16A0065821,04/20/2024 00:59,Pass,BCP21,ICT3
16A0065822,04/20/2024 01:00,Fail,BCP21,ICT4
16A0065823,04/20/2024 01:00,Pass,BCP21,ICT3
16A0065824,04/20/2024 01:01,Fail,BCP21,ICT3
16A0065825,04/20/2024 01:02,Fail,BCP21,ICT1
16A0065826,04/20/2024 01:03,Pass,BCP21,ICT2
16A0065827,04/20/2024 01:04,Pass,BCP21,ICT3
16A0065828,04/20/2024 01:05,Pass,BCP21,ICT1
16A0065829,04/20/2024 01:05,Fail,BCP21,ICT1
16A0065830,04/20/2024 01:06,Fail,BCP21,ICT1
16A0065831,04/20/2024 01:07,Fail,BCP21,ICT4
16A0065832,04/20/2024 01:08,Pass,BCP21,ICT2
16A0065833,04/20/2024 01:09,Pass,BCP21,ICT4
16A0065834,04/20/2024 01:10,Pass,BCP21,ICT1
16A0065835,04/20/2024 01:10,Fail,BCP21,ICT4
16A0065836,04/20/2024 01:11,Pass,BCP21,ICT2
16A0065837,04/20/2024 01:12,Pass,BCP21,ICT3
16A0065838,04/20/2024 01:13,Fail,BCP21,ICT3
16A0065839,04/20/2024 01:14,Fail,BCP21,ICT3
16A0065840,04/20/2024 01:15,Pass,BCP21,ICT2
16A0065841,04/20/2024 01:15,Fail,BCP21,ICT2
16A0065842,04/20/2024 01:16,Pass,BCP21,ICT4
16A0065843,04/20/2024 01:17,Fail,BCP21,ICT3
16A0065844,04/20/2024 01:18,Fail,BCP21,ICT2
16A0065845,04/20/2024 01:19,Pass,BCP21,ICT2
16A0065846,04/20/2024 01:20,Pass,BCP21,ICT3
16A0065847,04/20/2024 01:20,Fail,BCP21,ICT2
16A0065848,04/20/2024 01:21,Pass,BCP21,ICT3
16A0065849,04/20/2024 01:22,Fail,BCP21,ICT3
16A0065850,04/20/2024 01:23,Fail,BCP21,ICT3
16A0065851,04/20/2024 01:24,Fail,BCP21,ICT2
16A0065852,04/20/2024 01:25,Pass,BCP21,ICT2
16A0065853,04/20/2024 01:25,Pass,BCP21,ICT2
16A0065854,04/20/2024 01:26,Pass,BCP21,ICT1
